subclass,class
Abbey,ReligiousSite
ActivityProvider,PlaceOfInterest
AlpinePasture,NaturalHeritage
AntiqueAndSecondhandGoodDealer,Store
Aqueduct,RemarkableBuilding
ArcheologicalSite,CulturalSite
Arena,RemarkableBuilding
ArtGalleryOrExhibitionGallery,Store
Auditorium,SportsAndLeisurePlace
Bakery,FoodEstablishment
BalneotherapyCentre,SportsAndLeisurePlace
BarOrPub,FoodEstablishment
Basilica,ReligiousSite
Bastide,CityHeritage
Beach,NaturalHeritage
BeachClub,SportsAndLeisurePlace
BilliardRoom,SportsAndLeisurePlace
Bishopric,ReligiousSite
BistroOrWineBar,FoodEstablishment
BoatRestaurant,Restaurant
Bocage,NaturalHeritage
Bog,NaturalHeritage
BoulesPitch,SportsAndLeisurePlace
BoutiqueOrLocalShop,Store
BowlingAlley,SportsAndLeisurePlace
BrasserieOrTavern,Restaurant
Bridge,RemarkableBuilding
BuddhistTemple,ReligiousSite
Cabaret,Restaurant
CafeOrTeahouse,FoodEstablishment
Calvary,ReligiousSite
Canal,NaturalHeritage
Canyon,NaturalHeritage
Casino,SportsAndLeisurePlace
Castle,RemarkableBuilding
Cathedral,ReligiousSite
Causse,NaturalHeritage
CaveSinkholeOrAven,NaturalHeritage
Cellar,FoodEstablishment
ChalkyLawn,NaturalHeritage
Chapel,ReligiousSite
Chartreuse,RemarkableBuilding
Church,ReligiousSite
Cinema,SportsAndLeisurePlace
Cinematheque,SportsAndLeisurePlace
CircusPlace,SportsAndLeisurePlace
Cirque,NaturalHeritage
Citadel,DefenceSite
CityHeritage,CulturalSite
CivilCemetery,RemembranceSite
Cliff,NaturalHeritage
ClimbingWall,SportsAndLeisurePlace
Cloister,ReligiousSite
Coastline,NaturalHeritage
Col,NaturalHeritage
Collegiate,ReligiousSite
Commanderie,ReligiousSite
ConeNeck,NaturalHeritage
Convent,ReligiousSite
CoveredMarket,TechnicalHeritage
CraftsmanShop,Store
Crest,NaturalHeritage
CrossCountrySkiResort,SportsAndLeisurePlace
CrossCountrySkiTrail,SportsAndLeisurePlace
Cuesta,NaturalHeritage
CulturalActivityProvider,ActivityProvider
CulturalSite,PlaceOfInterest
Culture,NaturalHeritage
DefenceSite,CulturalSite
DepartmentStore,Store
District,CityHeritage
DogSleddingTrail,SportsAndLeisurePlace
DownhillSkiResort,SportsAndLeisurePlace
DownhillSkiRun,SportsAndLeisurePlace
Dune,NaturalHeritage
Dungeon,DefenceSite
EducationalTrail,SportsAndLeisurePlace
EquestrianCenter,SportsAndLeisurePlace
Farm,TechnicalHeritage
FarmhouseInn,Restaurant
FastFoodRestaurant,FoodEstablishment
FitnessCenter,SportsAndLeisurePlace
FitnessPath,SportsAndLeisurePlace
FoodEstablishment,PlaceOfInterest
Forest,NaturalHeritage
Forge,TechnicalHeritage
Fort,DefenceSite
FortifiedCastle,DefenceSite
FortifiedSet,DefenceSite
Fountain,RemarkableBuilding
FrontonBelotaCourt,SportsAndLeisurePlace
Glacier,NaturalHeritage
GolfCourse,SportsAndLeisurePlace
Gorge,NaturalHeritage
GourmetRestaurant,Restaurant
Grassland,NaturalHeritage
Gymnasium,SportsAndLeisurePlace
HalophilicArea,NaturalHeritage
Hammam,SportsAndLeisurePlace
Hillsides,NaturalHeritage
HotelRestaurant,Restaurant
HypermarketAndSupermarket,Store
IceCreamShop,FoodEstablishment
IceSkatingRink,SportsAndLeisurePlace
Icefall,NaturalHeritage
IndustrialSite,TechnicalHeritage
InterpretationCentre,CulturalSite
IslandPeninsula,NaturalHeritage
Jetty,SportsAndLeisurePlace
KidsClub,SportsAndLeisurePlace
Lake,NaturalHeritage
Landes,NaturalHeritage
LaunchingRamp,SportsAndLeisurePlace
LeisureComplex,SportsAndLeisurePlace
LeisureSportActivityProvider,ActivityProvider
LevyOrDike,RemarkableBuilding
Library,CulturalSite
Lighthouse,TechnicalHeritage
LocalProductsShop,Store
Marina,SportsAndLeisurePlace
MegalithDolmenMenhir,ArcheologicalSite
MilitaryCemetery,RemembranceSite
Mill,TechnicalHeritage
Mine,TechnicalHeritage
MiniGolf,SportsAndLeisurePlace
Monastery,ReligiousSite
MooringArea,SportsAndLeisurePlace
Mosque,ReligiousSite
Mountain,NaturalHeritage
MountainResort,CityHeritage
MountainRestaurant,Restaurant
MultiPurposeRoomOrCommunityRoom,SportsAndLeisurePlace
Museum,CulturalSite
NaturalCuriosity,NaturalHeritage
NaturalHeritage,PlaceOfInterest
NaturalPark,NaturalHeritage
NauticalCentre,SportsAndLeisurePlace
NightClub,SportsAndLeisurePlace
Orchard,TechnicalHeritage
Palace,RemarkableBuilding
ParkAndGarden,CulturalSite
Peak,NaturalHeritage
Pier,TechnicalHeritage
PigeonLoft,TechnicalHeritage
PlaceOfInterest,PointOfInterest
Plain,NaturalHeritage
Plateau,NaturalHeritage
PlayArea,SportsAndLeisurePlace
PointOfView,NaturalHeritage
Pond,NaturalHeritage
Racetrack,SportsAndLeisurePlace
RacingCircuit,SportsAndLeisurePlace
ReligiousSite,CulturalSite
RemarkableBuilding,CulturalSite
RemarkableHouse,RemarkableBuilding
RemembranceSite,CulturalSite
Restaurant,FoodEstablishment
River,NaturalHeritage
RomanPath,ArcheologicalSite
Ruins,ArcheologicalSite
SchoolOrTrainingCentre,SportsAndLeisurePlace
SelfServiceCafeteria,Restaurant
ShoppingCentreAndGallery,Store
SightseeingBoat,SportsAndLeisurePlace
Source,NaturalHeritage
SpaResort,CityHeritage
SportsAndLeisurePlace,PlaceOfInterest
SportsClub,SportsAndLeisurePlace
SportsHall,SportsAndLeisurePlace
SquashCourt,SportsAndLeisurePlace
Stables,TechnicalHeritage
Stadium,SportsAndLeisurePlace
Stone,NaturalHeritage
Store,PlaceOfInterest
Stream,NaturalHeritage
StreetFood,FoodEstablishment
StubbleFields,NaturalHeritage
SummerToboggan,SportsAndLeisurePlace
Summit,NaturalHeritage
Swamp,NaturalHeritage
SwimmingPool,SportsAndLeisurePlace
Synagogue,ReligiousSite
TeachingFarm,SportsAndLeisurePlace
TechnicalHeritage,CulturalSite
Temple,ReligiousSite
TennisComplex,SportsAndLeisurePlace
TerrainPark,SportsAndLeisurePlace
Theater,SportsAndLeisurePlace
ThemePark,SportsAndLeisurePlace
TobogganBobsleigh,SportsAndLeisurePlace
TourismCableCar,SportsAndLeisurePlace
TouristBus,SportsAndLeisurePlace
TouristTrain,SportsAndLeisurePlace
Tower,RemarkableBuilding
TrackRollerOrSkateBoard,SportsAndLeisurePlace
Trampoline,SportsAndLeisurePlace
TriumphalArch,RemembranceSite
Valley,NaturalHeritage
Velodrome,SportsAndLeisurePlace
ViaFerrata,SportsAndLeisurePlace
VivariumAquarium,SportsAndLeisurePlace
Volcano,NaturalHeritage
WashHouse,TechnicalHeritage
Waterfall,NaturalHeritage
Wetland,NaturalHeritage
YachtClub,SportsAndLeisurePlace
ZooAnimalPark,SportsAndLeisurePlace
